Price,Close,High,Low,Open,Volume,Date,Return,Daily_Range,MA_7,MA_30,Volatility_7,Year,Month,DayOfWeek,Lag_1,Lag_7,Volume_MA_7
2025-05-21,19.814924240112305,20.44389251754197,19.79542091524485,20.33175118946325,271200,2025-05-21,-0.032841610967560886,0.6484716022971178,20.82489504132952,22.473817952473958,0.0258864931463845,2025,5,2,20.487775802612305,21.3068962097168,267085.71428571426
2025-05-22,19.32735252380371,19.79542116693737,19.25909274583915,19.775919701761392,221100,2025-05-22,-0.024606287180325315,0.5363284210982187,20.437623705182755,22.380891354878745,0.0171738328238207,2025,5,3,19.814924240112305,22.03825187683105,243114.2857142857
2025-05-23,19.6393985748291,19.77591999270619,19.11282180854156,19.181081587510363,263900,2025-05-23,0.016145307570763823,0.6630981841646282,20.195230756487167,22.323013814290366,0.02023770691272686,2025,5,4,19.32735252380371,21.33614921569824,229785.7142857143
2025-05-27,20.536531448364254,20.877832209203135,19.697908900517877,19.72716202920095,306500,2025-05-27,0.0456802620567498,1.1799233086852574,20.17851393563407,22.240107282002768,0.027262046464337233,2025,5,1,19.6393985748291,20.653549194335938,234900.0
2025-05-28,19.47362327575684,20.484848153498497,19.40536349942759,20.47802217586557,366500,2025-05-28,-0.05175694713977985,1.0794846540709067,19.975126811436244,22.156244850158693,0.032554346151283,2025,5,2,20.536531448364254,20.8973331451416,257385.7142857143
2025-05-29,19.26884651184082,19.756418533314708,19.23959152097411,19.64915209340976,201800,2025-05-29,-0.010515596456615817,0.5168270123405989,19.79263605390276,22.06100591023763,0.03240826691493466,2025,5,3,19.47362327575684,20.546281814575195,264357.14285714284
2025-05-30,19.23958969116211,19.4833756787134,18.9080405992972,19.26884467924648,240000,2025-05-30,-0.0015183483173594192,0.5753350794162024,19.61432375226702,21.927411206563313,0.03245198243138333,2025,5,4,19.26884651184082,20.487775802612305,267285.71428571426
2025-06-02,20.3024959564209,20.33175094336798,19.16157750463653,19.16157750463653,326500,2025-06-02,0.05524578654330892,1.1701734387314495,19.683976854596818,21.838022994995118,0.03803316530369426,2025,6,0,19.23958969116211,19.814924240112305,275185.71428571426
2025-06-03,19.78567123413086,20.19522989922336,19.62964649417348,20.19522989922336,191500,2025-06-03,-0.02545621599429937,0.5655834050498818,19.749450956072128,21.71450481414795,0.03814127137056089,2025,6,1,20.3024959564209,19.32735252380371,270957.14285714284
2025-06-04,19.892934799194336,20.14549782321313,19.74666358904116,19.83442668712093,157900,2025-06-04,0.005421275012315263,0.3988342341719715,19.78567041669573,21.577009518941242,0.03778466012491435,2025,6,2,19.78567123413086,19.6393985748291,255814.2857142857
2025-06-05,20.12697029113769,20.39513636211918,19.756416412960625,19.79542120332373,221900,2025-06-05,0.011764754386709875,0.6387199491585562,19.72716167994908,21.441464551289876,0.033214421629054046,2025,6,3,19.892934799194336,20.536531448364254,243728.57142857142
2025-06-06,20.400012969970703,20.58529085452812,20.058712191030075,20.263493402370298,195700,2025-06-06,0.01356600993013024,0.5265786634980465,19.859503064836776,21.30689468383789,0.0252609493382861,2025,6,4,20.12697029113769,19.47362327575684,219328.57142857142
2025-06-09,20.760814666748047,21.08261208156665,20.64867148072907,20.653548241828712,172500,2025-06-09,0.01768634644048772,0.43394060083758035,20.072641372680664,21.187602106730143,0.02424335292649024,2025,6,0,20.400012969970703,19.26884651184082,215142.85714285713
2025-06-10,20.975345611572266,21.326398012416128,20.848575862405585,20.926587300377623,145000,2025-06-10,0.010333455033815442,0.4778221500105424,20.32060650416783,21.095288467407226,0.023632932795250965,2025,6,1,20.760814666748047,19.23958969116211,201571.42857142858
2025-06-11,21.063108444213867,21.26301286772399,20.799819146925596,21.043605119983763,202900,2025-06-11,0.0041840947113254146,0.4631937207983938,20.429265430995397,21.01435152689616,0.014353043617977044,2025,6,2,20.975345611572266,20.3024959564209,183914.2857142857
2025-06-12,20.73155975341797,21.23863503309209,20.692553104240236,20.9168376171334,160800,2025-06-12,-0.015740729421491295,0.546081928851855,20.564392362322128,20.913586616516113,0.010940998532898562,2025,6,3,21.063108444213867,19.78567123413086,179528.57142857142
2025-06-13,21.667695999145508,21.940736950777787,20.478021154059267,20.487772815896776,357700,2025-06-13,0.04515512855096193,1.4627157967185198,20.817929676600865,20.848576927185057,0.0181028368278658,2025,6,4,20.73155975341797,19.892934799194336,208071.42857142858
2025-06-16,21.04360580444336,22.10651283034401,20.986072298050797,21.755460422541397,291300,2025-06-16,-0.028802794479245053,1.1204405322932125,20.948877607073104,20.76243928273519,0.023910133610422945,2025,6,0,21.667695999145508,20.12697029113769,217985.7142857143
2025-06-17,20.877832412719727,21.31177118518424,20.770565979997432,20.985098845442025,166400,2025-06-17,-0.007877613431089392,0.5412052051868095,21.01713752746582,20.6759765625,0.0242441235086965,2025,6,1,21.04360580444336,20.400012969970703,213800.0
2025-06-18,20.770566940307617,21.16062603735384,20.721810483146648,20.877833377989287,147800,2025-06-18,-0.005137768629024819,0.4388155542071921,21.018530709402903,20.58333797454834,0.023552987347095048,2025,6,2,20.877832412719727,20.760814666748047,210271.42857142858
2025-06-20,20.45851707458496,21.05335540512262,20.370753981228937,20.926585665857587,646500,2025-06-20,-0.015023656630050342,0.6826014238936828,20.944698061261857,20.48907407124837,0.023702491286779596,2025,6,4,20.770566940307617,20.975345611572266,281914.28571428574
2025-06-23,20.224485397338867,20.69255404921063,20.029457722362043,20.37075661855636,189100,2025-06-23,-0.011439327512981157,0.6630963268485885,20.824894768851145,20.49004929860433,0.023613468988259702,2025,6,0,20.45851707458496,21.063108444213867,279942.85714285716
2025-06-24,20.877832412719727,20.892458977203848,20.08796631160522,20.312248980079534,184400,2025-06-24,0.03230475349779849,0.8044926655986266,20.84579086303711,20.48419844309489,0.026910871639287,2025,6,1,20.224485397338867,20.73155975341797,283314.28571428574
2025-06-25,21.004602432250977,21.10211534327556,20.57553855597249,20.770566237961216,139200,2025-06-25,0.006071991432119006,0.5265767873030711,20.751063210623606,20.47412198384603,0.019267138000781798,2025,6,2,20.877832412719727,21.667695999145508,252100.0
